timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1674963006107,1006,User List,200,OK,Thread Group 1-72,text,true,,1555,134,5,5,https://random-data-api.com/api/v2/users,1006,0,648
1674963006407,1066,User List,200,OK,Thread Group 1-73,text,true,,1565,134,5,5,https://random-data-api.com/api/v2/users,1066,0,708
1674963006707,1002,User List,200,OK,Thread Group 1-74,text,true,,1542,134,5,5,https://random-data-api.com/api/v2/users,1002,0,680
1674962993811,13951,User List,200,OK,Thread Group 1-31,text,true,,1554,134,4,4,https://random-data-api.com/api/v2/users,13951,0,12526
1674963007006,1037,User List,200,OK,Thread Group 1-75,text,true,,1561,134,4,4,https://random-data-api.com/api/v2/users,1037,0,678
1674963007305,1073,User List,200,OK,Thread Group 1-76,text,true,,1549,134,4,4,https://random-data-api.com/api/v2/users,1073,0,710
1674963007603,1040,User List,200,OK,Thread Group 1-77,text,true,,1578,134,4,4,https://random-data-api.com/api/v2/users,1040,0,681
1674963007903,1021,User List,200,OK,Thread Group 1-78,text,true,,1582,134,4,4,https://random-data-api.com/api/v2/users,1021,0,685
1674963008203,1069,User List,200,OK,Thread Group 1-79,text,true,,1557,134,4,4,https://random-data-api.com/api/v2/users,1069,0,679
1674963008802,973,User List,200,OK,Thread Group 1-81,text,true,,1567,134,5,5,https://random-data-api.com/api/v2/users,973,0,655
1674963009101,982,User List,200,OK,Thread Group 1-82,text,true,,1549,134,5,5,https://random-data-api.com/api/v2/users,982,0,650
1674963009401,1041,User List,200,OK,Thread Group 1-83,text,true,,1549,134,5,5,https://random-data-api.com/api/v2/users,1041,0,684
1674963009701,1016,User List,200,OK,Thread Group 1-84,text,true,,1586,134,5,5,https://random-data-api.com/api/v2/users,1015,0,658
1674963010000,1007,User List,200,OK,Thread Group 1-85,text,true,,1584,134,5,5,https://random-data-api.com/api/v2/users,1007,0,633
1674963010300,1069,User List,200,OK,Thread Group 1-86,text,true,,1565,134,5,5,https://random-data-api.com/api/v2/users,1069,0,713
1674963008502,2938,User List,200,OK,Thread Group 1-80,text,true,,1556,134,4,4,https://random-data-api.com/api/v2/users,2938,0,2540
1674963010599,1104,User List,200,OK,Thread Group 1-87,text,true,,1546,134,4,4,https://random-data-api.com/api/v2/users,1103,0,751
1674963011200,1009,User List,200,OK,Thread Group 1-89,text,true,,1560,134,5,5,https://random-data-api.com/api/v2/users,1009,0,655
1674963011498,1015,User List,200,OK,Thread Group 1-90,text,true,,1567,134,5,5,https://random-data-api.com/api/v2/users,1015,0,664
1674963011799,1270,User List,200,OK,Thread Group 1-91,text,true,,1520,134,6,6,https://random-data-api.com/api/v2/users,1269,0,716
1674963012098,1012,User List,200,OK,Thread Group 1-92,text,true,,1578,134,5,5,https://random-data-api.com/api/v2/users,1012,0,687
1674963012703,1073,User List,200,OK,Thread Group 1-94,text,true,,1568,134,6,6,https://random-data-api.com/api/v2/users,1073,0,712
1674963012997,1178,User List,200,OK,Thread Group 1-95,text,true,,1568,134,6,6,https://random-data-api.com/api/v2/users,1177,0,692
1674963013294,1019,User List,200,OK,Thread Group 1-96,text,true,,1556,134,6,6,https://random-data-api.com/api/v2/users,1019,0,667
1674963012396,2204,User List,200,OK,Thread Group 1-93,text,true,,1567,134,6,6,https://random-data-api.com/api/v2/users,2204,0,749
1674963013590,1083,User List,200,OK,Thread Group 1-97,text,true,,1560,134,5,5,https://random-data-api.com/api/v2/users,1082,0,732
1674963013898,995,User List,200,OK,Thread Group 1-98,text,true,,1570,134,5,5,https://random-data-api.com/api/v2/users,995,0,652
1674963014188,1037,User List,200,OK,Thread Group 1-99,text,true,,1580,134,5,5,https://random-data-api.com/api/v2/users,1037,0,681
1674963014487,1085,User List,200,OK,Thread Group 1-100,text,true,,1562,134,5,5,https://random-data-api.com/api/v2/users,1085,0,732
1674963015088,1025,User List,200,OK,Thread Group 1-102,text,true,,1537,134,6,6,https://random-data-api.com/api/v2/users,1025,0,668
1674963015386,1091,User List,200,OK,Thread Group 1-103,text,true,,1568,134,6,6,https://random-data-api.com/api/v2/users,1091,0,731
1674963015685,1057,User List,200,OK,Thread Group 1-104,text,true,,1574,134,6,6,https://random-data-api.com/api/v2/users,1057,0,666
1674963015987,961,User List,200,OK,Thread Group 1-105,text,true,,1590,134,6,6,https://random-data-api.com/api/v2/users,960,0,631
1674963010900,6402,User List,200,OK,Thread Group 1-88,text,true,,1549,134,6,6,https://random-data-api.com/api/v2/users,6402,0,4164
1674963016283,1029,User List,200,OK,Thread Group 1-106,text,true,,1553,134,5,5,https://random-data-api.com/api/v2/users,1029,0,685
1674963016584,987,User List,200,OK,Thread Group 1-107,text,true,,1567,134,5,5,https://random-data-api.com/api/v2/users,987,0,651
1674963016881,1031,User List,200,OK,Thread Group 1-108,text,true,,1585,134,5,5,https://random-data-api.com/api/v2/users,1031,0,676
1674963017183,999,User List,200,OK,Thread Group 1-109,text,true,,1586,134,5,5,https://random-data-api.com/api/v2/users,999,0,662
